ItemId,ItemName,Price,Availability,LastUpdated,HighestBuyOrder,Qty
fishingbishopfisht5,Abaia Serpe,499.4,1,2023-05-21T09:48:15.385126,148.99,45.0
glyphstone_above,Above Glyph Stone,0.09,51,2023-05-21T09:39:09.255957,,
tinctureacidt5,Acid Tincture,83.0,9,2023-05-21T10:03:28.279572,31.03,80.0
adamatinedustt1,Adamantine Dust,350.0,1,2023-05-21T09:43:25.923165,300.89,6.0
1hgauntletice_adeptcryomancersgauntlett2,Adept Cryomancer's Gauntlet,100.0,1,2022-12-30T19:40:44.245113,,
house_housingitem_legion_decor_deskscrolls01,Administrative Desk Scrolls,699.0,1,2023-05-13T16:58:33.09561,2.0,4.0
loadingmechanismt5,Advanced Loading Mechanism,2.0,3,2023-05-21T09:40:54.162698,2.0,496.0
repairkitt3,Advanced Repair Kit,0.88,2,2023-05-21T10:00:10.545216,,
summermedley_grilledfishplate,Aeternum Sturgeon Grilled Fish Plate,20.0,100,2023-05-21T10:02:37.771228,0.5,98.0
tannint5,Aged Tannin,0.08,1357,2023-05-21T09:50:15.575738,0.09,8188.0
woodt2,Aged Wood,0.1,442,2023-05-21T09:39:10.204713,0.12,4916.0
alchemyairt3,Air Essence,9.51,1,2023-05-21T09:44:28.912683,4.41,147.0
alchemyairt1,Air Mote,0.62,187,2023-05-21T09:44:07.604426,0.58,1303.0
essenceairt1,Air Quintessence,19.8,15,2023-05-21T09:44:30.731097,11.1,111.0
alchemyairt2,Air Wisp,6.75,1,2023-05-21T09:44:28.146696,2.0,600.0
fishinganglerfisht5,Albenaja,300.0,1,2023-05-21T09:48:12.846004,245.98,55.0
aloegelt1,Aloe Gel,0.4,1,2023-05-21T09:44:59.351493,0.4,8696.0
dyeb119,Amaranth Dye,0.88,5,2023-05-21T10:00:10.307261,0.52,98.0
ambert2,Amber,0.8,22,2023-05-21T09:40:10.960084,0.52,251.0
amethystt2,Amethyst,0.78,126,2023-05-21T09:40:08.442327,0.63,1115.0
house_housingitem_table_legion_bedsidetable_c,Amethyst Marble Bedside Table,25000.0,1,2023-02-22T22:51:58.089553,,
house_housingitem_table_legion_table01_c,Amethyst Marble Dining Table,59999.0,1,2023-03-23T17:59:51.888821,,
house_housingitem_legion_dresser01_c,Amethyst Marble Top Dresser,25000.0,1,2022-11-22T18:06:05.619457,,
foodintt5b,Ancho Masala Scorpion,94.9,22,2023-05-21T10:03:32.541757,60.06,12.0
fishinganchort2,Anchor,28.87,1,2023-05-21T09:42:27.359746,0.02,1013.0
