name,id
Fur,1581
Oil,1530
Gun,8074
Nut,2110
Sin,7908
Oar,2231
Sol,8877
Egg,2098
Sake,28274
Hope,8350
Jade,3903
Ruby,637
Salt,754
Feed,3327
Rice,358
Fury,4126
test,17044
Corn,440
Sage,312
Pork,366
Fuse,18585
Gash,8804
Mead,28272
Onyx,1654
Clam,179
Dome,8092
Opal,1651
Rage,4616
Coin,14976
Damp,9037
Omen,8901
Mint,1216
Dill,603
Coda,8185
Wine,28273
Silk,249
Dusk,8663
Milk,692
Horn,131
Pasta,727
Honey,557
Water,1187
Pearl,1633
Gloom,8667
Sugar,361
Ender,11290
Apple,270
Amber,1653
Truth,7990
Irony,13319
Reeds,715
Berry,2097
Heart,17151
Wheat,1019
Weave,8095
Thyme,959
Flint,1565
Onion,550
Azoth,3308
Linen,868
Stone,1571
Magma,8226
Agony,8259
Umbra,12289
Yeast,382
Lemon,823
Flour,611
Bread,349
Fever,8502
Grasp,9041
Topaz,1611
Fleam,2437
Melon,1127
Decay,11381
Scorn,8302
Basil,144
Malum,7896
Lacing,3019
Carrot,1289
Garnet,3895
Orange,1367
Hyssop,653
Fibers,1567
Slayer,8069
Ginger,756
Sulfur,29033
Lumber,235
Refuge,8398
Dancer,11305
Edenil,8856
Tomato,1099
Dragon,8084
Harrow,7957
Legacy,8225
Enmity,8272
Potato,691
Nutmeg,2111
Entrée,8556
Rivets,2401
Velian,11354
Vision,8108
Sateen,1355
Mayhem,8113
Antler,2792
Branch,3489
Anchor,1625
Virtue,11396
Petard,8076
Barley,218
Tallow,905
Cheese,1147
Squash,3
Tannin,203
Jasper,1620
Timber,93
Ruiner,14217
Piglet,3482
Stasis,10050
Verite,11283
Paella,2374
Oyster,2172
Muster,8393
Cinder,14277
Butter,969
Garlic,368
Output,11286
Infamy,8866
Parsley,1368
Cabbage,75
Unarmed,15297
Godfall,8509
Paprika,647
Lockbox,3528
Anarchy,8560
Feather,3110
Divinus,8409
Dirtnap,11449
Tadpole,412
Expanse,9042
Bastion,11397
Seaweed,2266
Scuffle,11288
Taggert,8110
Emerald,1612
Felicia,25079
Radigah,8103
Beeswax,3501
Tolvium,1458
Flutter,11707
Oregano,1085
Venison,988
Removal,11295
Portent,8902
Sausage,1574
Compost,3502
Bonerot,8692
Droplet,9036
G.R.E.G,13010
Icepick,14348
Undeath,13102
Saffron,1288
Tempest,7912
Poultry,642
Heretic,8293
Bracsio,11301
Brevity,8005
Gutshot,8025
Hotshot,13042
Firefox,914
Avarice,8189
Tubecap,3365
Hastate,11229
Citrine,3887
Scapula,14272
Coconut,911
Mjolnir,8445
Duality,8270
Panacea,28299
Aphedia,11219
Bellows,2813
Shuttle,2871
Conceit,11513
Toadpot,648
Baptism,8331
Cod Eye,1413
Sundial,2785
Diamond,1624
Rawhide,1572
Needler,4462
Buckles,2402
Keelhaul,10037
Alkahest,2948
Voidmist,8706
Hatemark,11709
Ragehide,1588
Al'kazor,7867
Fae Iron,1585
Briarmaw,14186
Dark Sky,4365
Aquanaja,816
Spinecap,1339
Cut Jade,3907
Ley Line,13060
Rosemary,71
Overheat,8299
Barbvine,1628
Patience,8164
Air Mote,862
Singular,8107
Ona'thul,8234
Meat Pie,731
Meatloaf,755
Air Wisp,228
Albenaja,1551
Deadblow,25336
Anmisema,29164
Waverush,8617
Void Ore,1421
Mob Rule,14215
Brinicle,9040
Dusktide,9864
Cut Ruby,1062
Edentide,8338
Teardrop,9038
Sapphire,1652
Fur Coat,25028
Wolf Paw,3618
Calamity,11830
Soulcage,10048
Grit Dye,1856
Moonshot,14245
Infernus,7931
Voidsong,9025
Deeproot,7930
The Land,8874
Bear Pee,3108
Voidroot,8687
Icy Shot,3266
Wildfire,7927
Warshade,8689
Charcoal,615
Wide-eye,8066
The Wall,13105
Starfish,1152
Borealis,8644
Bear Paw,3624
Artistry,11402
Lost Ear,28337
Dust Dye,2031
Hawkfall,11398
Big Shot,8114
Scarhide,1627
Boar Eye,3627
Ebonwood,1604
Wildwood,1455
Ash Desk,874
Ironwood,1452
Iron Pan,796
Iron Ore,1576
Iron Jug,1750
Slapdash,9646
Iron Cup,180
Tarragon,1372
Deadfist,8705
Ignition,8294
The Mark,8073
Sea Foam,11351
Eruption,9631
Dunweald,11342
The Hook,4134
Bilelash,11336
Feathers,1419
Twilight,8664
Grenades,3344
Pacifist,11325
Loudener,8077
Petalcap,1827
Silencer,8078
Baroness,11310
Dewfrost,9858
Pipeweed,3503
Takedown,8079
The Hunt,11296
Gold Ore,1570
Voidsnap,13159
Decrepit,13006
Gleamite,37686
Headsman,9531
New Dawn,11273
Amethyst,1608
Broccoli,90
Brew Keg,3717
Pony Keg,3716
Asmodeum,1223
Warpwood,4367
Kindness,11236
Daedalus,8204
Justicar,11230
Reckless,7900
Cut Onyx,105
Bandages,2841
Cut Opal,115
Pomander,16583
War Ring,10689
Red Meat,76
Aloe Gel,29034
Undertow,8471
Silk Hat,10536
Cinnabar,1461
Wyrdwood,1584
Cinnamon,1057
Fish Oil,850
Heartgem,3182
Ice Core,3701
Oak Desk,1955
Rootgrip,9262
Fish Roe,13
Mushroom,878
Cannoneer,9736
Last Blow,8515
Aged Wood,1569
Restraint,8453
Gutskewer,14347
Fish Fang,3633
Twine Dye,1938
Apple Pie,122
Fire Mote,910
Venom Sac,3634
Dire Fate,11505
Fire Wisp,472
Cold Claw,8896
Nullbreak,14374
Fish Bait,330
Hot Hands,8094
Fish Guts,341
Azoth Oil,3437
Comet Dye,1841
Torn Veil,11501
Thick Fur,1644
Cornbread,646
Fjord Dye,1906
Ascension,8330
Rimeblade,7902
Gunpowder,442
Longsight,4455
Bloodlust,8003
Diplomacy,8499
Dark Days,8497
Gem Pouch,3250
REPLACEME,32193
Flamewake,8842
Dreadwake,8840
Gold Hook,1278
Game Meat,202
Gold Band,30
Blueberry,1012
Soul Mote,869
Quick Wit,13018
The Cause,7864
Soul Wisp,1119
Barkflesh,1427
Brinelash,7873
Scavenger,8093
Frostfall,11473
Broadclaw,10039
Quillbark,1648
Ebon Rain,13055
Whetstone,1315
Rootspike,9836
Spite Key,2479
Sea Angel,13063
Manskewer,11439
Charblade,11891
Firefrost,8276
Maw Heart,3162
Squid Ink,1093
Silkweave,109
Wishmaker,13076
Firebrand,13084
Tomblight,13089
Shadowfur,1586
Starlight,13100
Whirlpool,8072
Servitude,11399
Darkshell,9655
Stonerend,4460
Warmonger,13122
Lordsbane,9826
Wild Rage,13123
Frostfang,11346
Bloodmoon,8650
Grim Luck,13132
Concubine,11340
Alphabane,8187
Open Hand,8359
Salvation,8364
Wirefiber,1460
Stormtear,8660
Pesto Dye,1860
Energizer,11303
Direhtaka,11302
Harvester,11299
Runestone,178
Longreach,13147
Harbinger,11824
Stormsong,8610
Wireweave,1334
Voidstudy,13169
Lost Aura,3115
Jotunbane,11251
Cut Amber,839
True Path,11233
Fasteners,2744
Clam Bait,1579
Open Book,1765
Fire Core,3704
Burn Balm,2843
Fire Prod,8326
Judgement,7962
Small Cod,784
Boar Tusk,912
Linen Hat,13888
Silk Robe,10539
Cranberry,389
Oak Stain,324
Innocence,7959
Precision,8165
Moonstone,1610
Ghostclaw,8670
Bear Meat,3297
Saltpeter,160
Dark Path,12340
Hamstring,7956
Ash Stain,1402
Soultorch,12344
Souldrain,8674
Carnelian,1614
Clearance,8111
Deadsight,11684
Dark Edge,7947
Soulthief,8172
Huge Claw,2892
Hourglass,8410
Foulmouth,8211
Brodesode,9052
Deep Hole,9049
Cut Pearl,3917
Driftwood,9047
Meat Bait,1222
Troubador,8548
Turquoise,3921
Bloodfeud,8417
Voidmetal,1597
Cut Topaz,522
Daemonaja,1477
Hailstorm,8152
Sand Flux,978
Gallantus,25071
Black Ice,8645
Malachite,1609
Reckoning,14236
Frostwall,9032
Frostbite,7879
Wolf Claw,3619
Fireblast,24646
Ash Resin,3601
Wolf Fang,3620
Shifthide,1600
Baal Hoop,12363
Night Sun,24534
Full Moon,8434
Lodestone,1583
Life Wisp,1263
Bear Claw,3625
Life Mote,158
Lava Barb,1545
Fine Sand,3491
Scalecord,1605
Ruination,8533
Tuskgorer,9837
Bear Fang,3626
Boar Hoof,3628
Last Gasp,11617
Waterskin,28336
Large Cod,877
Mist Wine,28370
Razorfang,8530
Carbonara,2373
Prime Key,28288
Iron Hook,1274
Iron Hide,1478
Longevity,8519
Persuader,8449
Cold Bore,8008
Honey Brew,932
Lost Faith,11807
Second Son,8055
Steinvirki,11797
Brightclaw,11790
Marshlight,11784
Jawbreaker,11781
Vile Mercy,11730
Pyromaniac,8300
Last Light,11716
Soul Spice,11629
Opus Blade,4521
Lavabinder,8295
Cauterizer,9874
Scalecloth,1657
Scaly Hide,1607
Sharktooth,9882
Putrid Pit,11483
Cheesecake,907
Crisp Note,28263
Earthspike,11451
Contrition,11445
Wingslicer,11443
Coffer Key,2959
Spreadshot,8070
Cut Jasper,57
Duty Bound,11400
Shadecloth,1564
Immolation,11367
Heatseeker,11366
Dread Keel,25785
Sundershot,11330
Overgrowth,11324
Odious Eye,10060
Aged Metal,11292
Chain Shot,11285
Fearwarden,11249
Grim Edict,11228
War Amulet,10690
Silk Dress,10547
Lost Mercy,10340
Silk Shoes,10544
Earthspine,28237
Silk Pants,10542
Silk Shirt,10538
Rotisgrana,8085
Dark Widow,8205
Sharp Fang,2441
Water Wisp,660
Talisman 9,3512
Dark Heart,8138
Water Mote,497
Ornate Box,2440
Runed Haft,2944
Nutty Brew,2879
Flame Core,37927
Human Idol,37929
Silent Cry,8241
Fetid Bile,2908
Stormbreak,8544
Talisman 8,3511
Honorsbane,8220
Crestborne,8136
Cold Stone,8623
Death Mote,459
Death Wisp,113
Gypsum Orb,4095
Soulneedle,8541
Desert Dye,1874
Talisman 7,3510
Bear Blood,610
Winterbite,8639
Weapon Oil,2486
Dryad Bark,410
Bonebuster,24395
Earth Mote,649
Animal Eye,1179
Earth Wisp,813
Hemogoblin,7887
Metal Mask,2488
Malice Key,2460
Ruby Tonic,19247
Fanged Jaw,3632
Yul'kithir,4373
Prime Loin,3385
Steel Hook,3635
Aquamarine,1613
Fish Cakes,143
Fish Filet,226
Cellar Key,18580
Fish Sword,1630
Glass Vial,28922
Talisman 6,3509
Arcane Orb,18575
Arm Cilice,2422
Talisman 5,3508
Azoth Seed,18571
To-Do List,769
Bloodfeast,8492
Frost Bite,8150
Juicy Pork,2465
Bee Smoker,18592
Talisman 4,3507
Gold Chain,1208
Commitment,8482
Gold Ingot,983
Talisman 3,3506
Talisman 2,3505
Talisman 1,3504
Crossweave,871
Firebinder,8872
Green Wood,1566
Grog Crate,1967
Steadylimb,8173
Seer's End,7906
Thick Hide,1580
Frostgrasp,8894
Terracrash,8467
Shadowfury,14362
Acidic Tip,14360
Azoth Gems,3061
Gutsticker,14336
Silty Sand,3492
Járngreipr,8631
Nimbusight,14323
Iron Arrow,1034
Heart Beat,14320
Iron Ingot,120
Parabellum,8448
False Hope,14316
Quiescense,14309
Tanglewisp,1227
Large Bass,1237
Large Hake,1178
Hag Stones,2501
Large Pike,1404
Copper Dye,1899
Widowmaker,7926
Light Meal,1228
Large Claw,2409
Vial Pouch,3531
Pestilence,4488
Boar Blood,1318
Coin Purse,2407
True Sight,14250
Gutpiercer,14243
Berry Brew,297
Maple Desk,2034
Conversion,7945
Soul Spine,9044
Mealiewrap,517
Arrowspine,9048
Medium Cod,1021
Bison Meat,3307
Lost Chill,25334
Windsinger,4510
Sharp Claw,2726
Lost Hairs,3305
Veilstrike,8616
Black Hole,8646
Prim Shoes,14114
Strawberry,1821
Cut Garnet,3899
Lost Bones,3295
Oar-nament,523
Earth Core,3703
Kingslayer,7963
Compulsion,8396
Tiger Meat,3287
Lost Flesh,3285
Lifespring,8394
Life Giver,13726
No Remorse,7969
Seed Pouch,3529
Sparklight,13608
Soulreaper,8649
Wolf Blood,104
Coral Lash,4362
Razortalon,7975
Peppercorn,684
Bloodright,9535
Phasefiber,1646
Pigsticker,13138
Magmaquake,8589
Soulseeker,9624
Guillotine,4451
Poison Sac,1286
Pork Belly,60
Powder Keg,9645
Dangerzone,9648
Gale Force,13115
Anesthetic,13107
Vineweaver,13104
Dark Angel,13091
Iron Nails,3756
Dark Light,13081
Ashen Wake,13078
Squid Meat,1167
Fearreaver,13068
Large Fang,2444
Sandscribe,9716
Pure Resin,1492
Spiced Nog,1205
Dryad Wood,3470
Root's Axe,13033
Icestriker,13032
Fish Sauce,29027
Soggy Boot,2232
Snail Bait,1407
Briar Buds,229
Sateen Hat,12542
Pearl Ring,12502
Bread Bait,1112
Small Pike,450
Dark Feast,8659
The Bowler,8100
Grindstone,3218
Small Hake,1266
Forthright,12348
Small Drum,1768
Omega Band,12205
FimbulVetr,12195
Small Bass,967
Timereaver,12174
Heavy Shot,8099
Boneweaver,8661
Ghostspark,11904
Black Fire,9833
Stormlight,11896
Rimestring,11890
Resin Lump,1405
Slimy Boot,2800
Silver Ore,1573
Swiftshadow,8704
Gaia's Whim,11834
Air Essence,581
Medium Pike,302
Damned Fist,13168
Egede Serpe,1544
Dagger Wine,2576
Ship's Flag,2426
Voidravager,13164
Ash to Dust,8263
Quaint Helm,9053
Steel Arrow,1384
Energy Core,3541
Dark Thirst,11289
Raging Pain,13158
Cordon Bleu,973
Frigid Grip,13153
Void Herald,13152
Truthseeker,24027
Rotten Limb,8691
Tailchopper,8244
Calm Seabed,10064
Cooking Oil,963
Scurvyclonk,9863
Veilpiercer,4456
Coarse Sand,3490
Heavy Heart,10059
Crystalshot,9538
Silver Band,655
Human Digit,37928
Crow's Nest,11832
Gravekeeper,8438
Scarab Core,28371
Ashen Rifle,9556
Eviscerator,8209
Soulcrusher,4523
Bulrush Cob,1252
Earth Totem,174
Bronze Pelt,28134
Antique Box,2728
Arcane Fire,14274
Pirate Sign,1394
First Flame,9561
Jolly Sabre,13133
Eden's Kiss,9564
Bloodletter,11337
Duskbringer,8428
Ear Trumpet,2461
Carrot Cake,1864
Wicker Doll,37925
Arctic Dusk,11692
Dreamhacker,11341
Wizened Hat,8956
Cooked Corn,307
Barley Soup,1868
Umbral Iron,9744
Daywear Hat,14121
Azoth Water,779
Vial of Sap,1330
Fine Helmet,3451
Steel Nails,3757
Wavesmasher,14326
Thundersnow,11794
String Bean,416
Azoth Shard,3582
Animal Fang,139
Legion Mark,28150
Doom's Edge,8208
Molten Rune,887
Dummy Frame,1637
Malevolance,8651
Powder Horn,2009
